timestamp,trigger_value,annotation
2025-12-22T15:11:18.223867,1,Session_Start
2025-12-22T15:11:23.314141,1,Feedback_High
2025-12-22T15:11:38.310130,1,Feedback_Low
2025-12-22T15:11:43.306161,1,Feedback_High
2025-12-22T15:11:48.307068,1,Feedback_High
2025-12-22T15:11:53.314898,1,Feedback_Low
2025-12-22T15:12:03.318768,1,Feedback_High
2025-12-22T15:12:13.335663,1,Feedback_High
2025-12-22T15:12:18.343014,1,Feedback_High
2025-12-22T15:12:23.339718,1,Feedback_Low
2025-12-22T15:12:28.342489,1,Feedback_Low
2025-12-22T15:12:33.341375,1,Feedback_High
2025-12-22T15:12:38.349649,1,Feedback_Low
2025-12-22T15:12:43.351658,1,Feedback_Low
2025-12-22T15:12:48.360775,1,Feedback_Low
2025-12-22T15:12:53.358291,1,Feedback_Low
2025-12-22T15:12:58.364086,1,Feedback_High
2025-12-22T15:13:03.382220,1,Feedback_High
2025-12-22T15:13:08.399218,1,Feedback_High
2025-12-22T15:13:13.401761,1,Feedback_Low
2025-12-22T15:13:23.403074,1,Feedback_Low
2025-12-22T15:13:33.396518,1,Feedback_Low
2025-12-22T15:13:38.402070,1,Feedback_High
2025-12-22T15:13:43.408681,1,Feedback_High
2025-12-22T15:13:53.398857,1,Feedback_Low
2025-12-22T15:13:58.402063,1,Feedback_High
2025-12-22T15:14:08.398147,1,Feedback_High
2025-12-22T15:14:18.400390,1,Feedback_Low
2025-12-22T15:14:28.409392,1,Feedback_Low
2025-12-22T15:14:43.406412,1,Feedback_High
2025-12-22T15:14:48.402586,1,Feedback_High
2025-12-22T15:14:53.413661,1,Feedback_Low
2025-12-22T15:15:13.417514,1,Feedback_High
2025-12-22T15:15:23.413417,1,Feedback_High
2025-12-22T15:15:28.421696,1,Feedback_Low
2025-12-22T15:15:33.414839,1,Feedback_Low
2025-12-22T15:15:38.417091,1,Feedback_High
2025-12-22T15:15:43.417556,1,Feedback_High
2025-12-22T15:15:58.413272,1,Feedback_Low
2025-12-22T15:16:03.421255,1,Feedback_Low
2025-12-22T15:16:08.424738,1,Feedback_Low
2025-12-22T15:16:13.426114,1,Feedback_Low
2025-12-22T15:16:23.423161,1,Feedback_High
2025-12-22T15:16:33.423902,1,Feedback_High
2025-12-22T15:16:48.443402,1,Feedback_Low
2025-12-22T15:17:08.472599,1,Feedback_High
2025-12-22T15:17:18.464061,1,Feedback_Low
2025-12-22T15:17:23.463208,1,Feedback_Low
2025-12-22T15:17:28.472370,1,Feedback_Low
2025-12-22T15:17:38.459133,1,Feedback_Low
2025-12-22T15:17:43.461923,1,Feedback_Low
2025-12-22T15:17:53.474014,1,Feedback_High
2025-12-22T15:17:58.480943,1,Feedback_Low
2025-12-22T15:18:13.472583,1,Feedback_Low
2025-12-22T15:18:18.475395,1,Feedback_Low
2025-12-22T15:18:23.478986,1,Feedback_Low
2025-12-22T15:18:38.490571,1,Feedback_High
2025-12-22T15:18:43.496614,1,Feedback_Low
2025-12-22T15:18:48.499368,1,Feedback_High
2025-12-22T15:18:58.494513,1,Feedback_High
2025-12-22T15:19:03.495499,1,Feedback_High
2025-12-22T15:19:08.491484,1,Feedback_High
2025-12-22T15:19:13.494227,1,Feedback_Low
2025-12-22T15:19:23.499507,1,Feedback_Low
2025-12-22T15:19:28.494668,1,Feedback_High
2025-12-22T15:19:33.490927,1,Feedback_High
2025-12-22T15:19:38.497177,1,Feedback_High
2025-12-22T15:19:43.503775,1,Feedback_High
2025-12-22T15:19:58.494811,1,Feedback_High
2025-12-22T15:20:03.500533,1,Feedback_High
2025-12-22T15:20:08.507380,1,Feedback_Low
2025-12-22T15:20:18.509661,1,Feedback_High
2025-12-22T15:20:23.517744,1,Feedback_High
2025-12-22T15:20:33.510720,1,Feedback_High
2025-12-22T15:20:48.520438,1,Feedback_High
